order_id,customer_id,product,quantity,order_date,region,price,revenue,category
1,4174,Headphones,1.0,2023-12-30,North,269.13,269.13,High
2,4507,Phone,2.0,2023-05-27,North,1923.15,3846.3,High
3,1860,Keyboard,3.0,2023-11-10,North,242.26,726.78,High
4,2294,Mouse,5.0,2024-07-01,North,90.52,452.59999999999997,High
5,2130,Headphones,4.0,2025-03-06,East,231.01,924.04,High
6,2095,Phone,3.0,2025-06-17,East,1640.39,4921.17,High
7,4772,Webcam,2.0,2023-04-11,South,332.07,664.14,High
8,4092,Headphones,1.0,2023-04-17,North,422.29,422.29,High
9,2638,Mouse,3.0,2025-05-06,East,36.46,109.38,High
10,3169,SSD,5.0,2025-07-25,East,365.97,1829.8500000000001,High
11,1466,Laptop,2.0,2023-10-18,South,4972.9,9945.8,High
12,2238,Monitor,1.0,2024-09-08,South,1029.69,1029.69,High
13,1330,SSD,4.0,2024-08-10,North,348.32,1393.28,High
14,2482,Phone,2.0,2024-08-18,North,1288.59,2577.18,High
15,3135,Keyboard,1.0,2025-09-03,South,174.42,174.42,High
16,4444,Laptop,4.0,2025-12-09,North,2482.76,9931.04,High
17,4171,SSD,1.0,2025-05-17,South,261.16,261.16,High
18,3919,Phone,4.0,2025-08-27,East,2009.95,8039.8,High
19,4735,Laptop,4.0,2024-12-22,West,2414.86,9659.44,High
20,1130,SSD,4.0,2023-06-07,East,566.76,2267.04,High
21,2685,Keyboard,1.0,2023-11-24,East,126.99,126.99,High
23,1769,Mouse,2.0,2024-09-24,North,84.71,169.42,High
24,3391,Mouse,5.0,2023-11-23,South,111.27,556.35,High
25,2515,Keyboard,5.0,2024-05-22,East,275.95,1379.75,High
26,4485,Headphones,4.0,2025-05-19,East,134.29,537.16,High
27,3853,Keyboard,5.0,2023-08-29,West,264.09,1320.4499999999998,High
28,3433,Headphones,5.0,2024-03-10,North,378.79,1893.95,High
29,2215,Phone,4.0,2025-11-17,North,1930.62,7722.48,High
30,1955,SSD,4.0,2024-12-04,East,175.15,700.6,High
31,3324,Headphones,2.0,2024-08-11,East,480.7,961.4,High
32,2184,Phone,3.0,2024-02-17,North,1017.22,3051.66,High
33,1459,Phone,1.0,2024-07-22,East,2440.2,2440.2,High
34,4385,Webcam,4.0,2025-09-15,South,335.77,1343.08,High
35,1021,Monitor,4.0,2025-12-07,East,1239.3,4957.2,High
36,3300,Phone,5.0,2024-04-28,North,2371.08,11855.4,High
37,1747,Headphones,2.0,2024-10-29,East,184.54,369.08,High
38,3904,Monitor,5.0,2023-05-31,East,1987.5,9937.5,High
39,4632,Monitor,4.0,2023-08-13,West,1575.23,6300.92,High
40,1474,Phone,4.0,2023-09-13,West,967.24,3868.96,High
41,2082,Keyboard,5.0,2023-03-02,East,184.15,920.75,High
42,3558,Keyboard,4.0,2024-01-31,South,227.72,910.88,High
43,4753,Mouse,3.0,2024-01-15,South,134.21,402.63,High
44,3047,Monitor,1.0,2023-12-15,North,1135.92,1135.92,High
45,4547,Phone,1.0,2023-01-31,North,1221.84,1221.84,High
46,3747,Webcam,1.0,2023-03-12,North,156.23,156.23,High
47,1975,Keyboard,3.0,2024-02-01,East,281.74,845.22,High
48,2806,Webcam,4.0,2023-01-02,South,155.12,620.48,High
49,1189,Phone,5.0,2025-07-17,North,2436.09,12180.45,High
50,4005,Phone,2.0,2024-07-15,East,1157.38,2314.76,High
51,3734,SSD,4.0,2023-05-26,East,322.93,1291.72,High
52,4005,Monitor,3.0,2023-06-28,East,518.49,1555.47,High
53,1562,SSD,3.0,2023-09-21,East,556.41,1669.23,High
54,2899,Webcam,1.0,2023-07-23,North,113.39,113.39,High
55,4638,SSD,4.0,2024-11-29,North,310.8,1243.2,High
56,2267,Mouse,1.0,2025-11-19,West,173.23,173.23,High
57,3879,Monitor,2.0,2023-02-28,North,1687.85,3375.7,High
58,2528,Laptop,1.0,2025-10-29,East,4524.5,4524.5,High
59,4202,SSD,2.0,2025-09-14,South,561.35,1122.7,High
60,4556,Webcam,3.0,2023-06-16,West,371.54,1114.6200000000001,High
61,4890,Keyboard,1.0,2025-06-25,East,242.62,242.62,High
62,1646,Keyboard,1.0,2025-06-16,East,195.61,195.61,High
63,3068,Keyboard,5.0,2025-03-01,South,190.39,951.9499999999999,High
64,3888,Headphones,3.0,2023-08-30,West,106.46,319.38,High
65,3214,Phone,5.0,2025-06-26,East,2028.37,10141.849999999999,High
