order_id,customer_id,product,quantity,order_date,region,price
1,4174,Headphones,1,2023-12-30,North,269.13
2,4507,Phone,2,2023-05-27,North,1923.15
3,1860,Keyboard,3,2023-11-10,North,242.26
4,2294,Mouse,5,2024-07-01,North,90.52
5,2130,Headphones,4,2025-03-06,East,231.01
6,2095,Phone,3,2025-06-17,East,1640.39
7,4772,Webcam,2,2023-04-11,South,332.07
8,4092,Headphones,1,2023-04-17,North,422.29
9,2638,Mouse,3,2025-05-06,East,36.46
10,3169,SSD,5,2025-07-25,East,365.97
11,1466,Laptop,2,2023-10-18,South,4972.9
12,2238,Monitor,1,2024-09-08,South,1029.69
13,1330,SSD,4,2024-08-10,North,348.32
14,2482,Phone,2,2024-08-18,North,1288.59
15,3135,Keyboard,1,2025-09-03,South,174.42
16,4444,Laptop,4,2025-12-09,North,2482.76
17,4171,SSD,1,2025-05-17,South,261.16
18,3919,Phone,4,2025-08-27,East,2009.95
19,4735,Laptop,4,2024-12-22,West,2414.86
20,1130,SSD,4,2023-06-07,East,566.76
21,2685,Keyboard,1,2023-11-24,East,126.99
22,4380,Phone,4,2025-01-04,South,
23,1769,Mouse,2,2024-09-24,North,84.71
24,3391,Mouse,5,2023-11-23,South,111.27
25,2515,Keyboard,5,2024-05-22,East,275.95
26,4485,Headphones,4,2025-05-19,East,134.29
27,3853,Keyboard,5,2023-08-29,West,264.09
28,3433,Headphones,5,2024-03-10,North,378.79
29,2215,Phone,4,2025-11-17,North,1930.62
30,1955,SSD,4,2024-12-04,East,175.15
31,3324,Headphones,2,2024-08-11,East,480.7
32,2184,Phone,3,2024-02-17,North,1017.22
33,1459,Phone,1,2024-07-22,East,2440.2
34,4385,Webcam,4,2025-09-15,South,335.77
35,1021,Monitor,4,2025-12-07,East,1239.3
36,3300,Phone,5,2024-04-28,North,2371.08
37,1747,Headphones,2,2024-10-29,East,184.54
38,3904,Monitor,5,2023-05-31,East,1987.5
39,4632,Monitor,4,2023-08-13,West,1575.23
40,1474,Phone,4,2023-09-13,West,967.24
41,2082,Keyboard,5,2023-03-02,East,184.15
42,3558,Keyboard,4,2024-01-31,South,227.72
43,4753,Mouse,3,2024-01-15,South,134.21
44,3047,Monitor,1,2023-12-15,North,1135.92
45,4547,Phone,1,2023-01-31,North,1221.84
46,3747,Webcam,1,2023-03-12,North,156.23
47,1975,Keyboard,3,2024-02-01,East,281.74
48,2806,Webcam,4,2023-01-02,South,155.12
49,1189,Phone,5,2025-07-17,North,2436.09
50,4005,Phone,2,2024-07-15,East,1157.38
51,3734,SSD,4,2023-05-26,East,322.93
52,4005,Monitor,3,2023-06-28,East,518.49
53,1562,SSD,3,2023-09-21,East,556.41
54,2899,Webcam,1,2023-07-23,North,113.39
55,4638,SSD,4,2024-11-29,North,310.8
56,2267,Mouse,1,2025-11-19,West,173.23
57,3879,Monitor,2,2023-02-28,North,1687.85
58,2528,Laptop,1,2025-10-29,East,4524.5
59,4202,SSD,2,2025-09-14,South,561.35
60,4556,Webcam,3,2023-06-16,West,371.54
61,4890,Keyboard,1,2025-06-25,East,242.62
62,1646,Keyboard,1,2025-06-16,East,195.61
63,3068,Keyboard,5,2025-03-01,South,190.39
64,3888,Headphones,3,2023-08-30,West,106.46
65,3214,Phone,5,2025-06-26,East,2028.37
66,2297,Monitor,2,2025-02-15,North,840.02
67,3435,Keyboard,2,2023-07-18,East,257.17
68,1600,Laptop,3,2025-11-22,South,3661.41
69,3363,Keyboard,2,2024-02-12,North,296.81
70,3061,Mouse,3,2023-08-09,South,65.75
71,1241,Phone,2,2025-12-28,East,2029.89
72,3041,Webcam,4,2025-04-19,East,255.21
73,3824,Phone,1,2025-02-26,East,
74,4417,SSD,4,2024-07-07,East,269.7
75,3612,Webcam,3,2024-07-31,East,99.02
76,3945,Webcam,3,2024-06-16,South,254.04
77,2363,SSD,4,2023-12-01,South,384.73
78,3139,Monitor,1,2025-10-17,North,967.56
79,2390,SSD,1,2023-09-03,North,593.94
80,4003,Headphones,5,2024-09-02,West,134.86
81,2478,Webcam,2,2023-11-25,West,262.25
82,4499,Webcam,5,2024-06-30,North,163.27
83,3556,SSD,1,2023-12-05,South,150.86
84,1775,Monitor,4,2025-09-20,West,1981.77
